voucher_code,category,claimed,redeemed
MA_BELLDUC_25122023_SF4381,Nhà cửa - Đời sống,15.0,3.0
MA_BENHVIENTHUCUC_01122023_SF4283,Sức khỏe - Làm đẹp,16.0,1.0
MA_BENHVIENTHUCUC_01122023_SF4284,Sức khỏe - Làm đẹp,40.0,1.0
MA_BENHVIENTHUCUC_01122023_SF4375,Sức khỏe - Làm đẹp,40.0,2.0
MA_BENHVIENTHUCUC_01122023_SF4376,Sức khỏe - Làm đẹp,15.0,0.0
MA_BENHVIENTHUCUC_01122023_SF4377,Sức khỏe - Làm đẹp,57.0,3.0
MA_BE_10012024_SF4485,Vận tải - Giao vận,3057.0,651.0
MA_BE_10012024_SF4486,Vận tải - Giao vận,2300.0,532.0
MA_BIODERMA_21122023_SF4338,Sức khỏe - Làm đẹp,390.0,64.0
MA_BLACKMORRES_21122023_SF4389,Sức khỏe - Làm đẹp,190.0,16.0
MA_BOTOQUANMOC_15112023_SF4200,Ẩm thực,1206.0,51.0
MA_BTASKEE_02062023_SF3423,Nhà cửa - Đời sống,3742.0,1535.0
MA_BTASKEE_02062023_SF3424,Nhà cửa - Đời sống,695.0,408.0
MA_CALIFORNIAFITNESS_05082022_SF1680,Sức khỏe - Làm đẹp,512.0,84.0
MA_CANIFA_17012024_SF4518,Thời trang và Phong cách sống,1200.0,115.0
MA_CHANEL_20012024_SF4507,Sức khỏe - Làm đẹp,22.5,3.0
MA_CHANEL_20012024_SF4507,Thời trang và Phong cách sống,22.5,3.0
MA_CMSEDU_15112023_SF4204,Giáo dục,1.0,0.0
MA_COACH_20012024_SF4514,Sức khỏe - Làm đẹp,11.5,0.5
MA_COACH_20012024_SF4514,Thời trang và Phong cách sống,11.5,0.5
MA_COFFILIA_20012024_SF4515,Ẩm thực,150.0,5.0
MA_DAIRYQUEEN_05012024_SF4483,Ẩm thực,146.0,4.0
MA_DAIRYQUEEN_05012024_SF4484,Ẩm thực,1543.0,192.0
MA_DEVEMEN_16122023_SF4360,Sức khỏe - Làm đẹp,1.0,0.0
MA_DHC_19102023_SF4030,Sức khỏe - Làm đẹp,2.0,0.0
MA_DIOR_20012024_SF4506,Sức khỏe - Làm đẹp,33.0,6.5
MA_DIOR_20012024_SF4506,Thời trang và Phong cách sống,33.0,6.5
MA_ELITEFITNESS_21042023_SF3219,Sức khỏe - Làm đẹp,6.0,4.0
MA_ELITEFITNESS_21042023_SF3220,Sức khỏe - Làm đẹp,86.0,22.0
MA_ESTEELAUDER_20012024_SF4512,Sức khỏe - Làm đẹp,21.0,1.5
MA_ESTEELAUDER_20012024_SF4512,Thời trang và Phong cách sống,21.0,1.5
MA_GREENCOOK_15112023_SF4199,Nhà cửa - Đời sống,206.0,84.0
MA_GSM_18092023_SF3852,Vận tải - Giao vận,185.0,209.0
MA_GSM_18092023_SF3856,Vận tải - Giao vận,769.0,654.0
MA_HATHORBEAUTYSPA_12102023_SF3968,Sức khỏe - Làm đẹp,9.0,0.0
MA_HATHORBEAUTYSPA_12102023_SF3969,Sức khỏe - Làm đẹp,36.0,4.0
MA_HATHORBEAUTYSPA_26052023_SF3334,Sức khỏe - Làm đẹp,105.0,21.0
MA_HATHORBEAUTYSPA_26052023_SF3335,Sức khỏe - Làm đẹp,49.0,4.0
MA_HAXUVINA_15112023_SF4286,Thương mại điện tử,3.0,0.0
MA_HEALTHYCARE_25122023_SF4383,Sức khỏe - Làm đẹp,15.0,5.0
MA_HEALTHYCARE_25122023_SF4384,Sức khỏe - Làm đẹp,9.0,1.0
MA_HEALTHYCARE_29122023_SF4386,Sức khỏe - Làm đẹp,11.0,0.0
MA_HIGHLANDS_01022024_SF4599,Ẩm thực,13539.0,6151.0
MA_HIGHLANDS_01022024_SF4600,Ẩm thực,4719.0,861.0
MA_HIGHLANDS_01022024_SF4601,Ẩm thực,6681.0,1167.0
MA_HIGHLANDS_01022024_SF4602,Ẩm thực,16579.0,6635.0
MA_HIGHLANDS_02012024_SF4406,Ẩm thực,18436.0,8826.0
MA_HIGHLANDS_02012024_SF4407,Ẩm thực,2815.0,494.0
MA_HIGHLANDS_02012024_SF4410,Ẩm thực,10301.0,4492.0
MA_HIGHLANDS_02012024_SF4414,Ẩm thực,4957.0,1329.0
MA_HIGHLANDS_02012024_SF4475,Ẩm thực,7138.0,3393.0
MA_HIGHLANDS_10012024_SF4447,Ẩm thực,2356.0,697.0
MA_HIGHLANDS_10012024_SF4448,Ẩm thực,4624.0,1286.0
MA_HISPA_19122023_SF4368,Sức khỏe - Làm đẹp,7.0,1.0
MA_HYPOXI_01122023_SF4267,Sức khỏe - Làm đẹp,49.0,1.0
MA_Hoayeuthuong_05122023_SF4277,Nhà cửa - Đời sống,246.0,34.0
MA_JUPVIEC_15112023_SF4205,Nhà cửa - Đời sống,11.0,5.0
MA_KACHI_18102023_SF4032,Khác,1.5,0.5
MA_KACHI_18102023_SF4032,Nhà cửa - Đời sống,1.5,0.5
MA_KATINATCAFE_30012024_SF4559,Ẩm thực,300.0,160.0
MA_KHRUABAANTHAI_15122023_SF4363,Ẩm thực,461.0,21.0
MA_KORIN_12012024_SF4496,Nhà cửa - Đời sống,12.0,0.0
MA_LACOSTE_16112023_SF4211,Sức khỏe - Làm đẹp,1.0,0.0
MA_LACOSTE_16112023_SF4211,Thời trang và Phong cách sống,1.0,0.0
MA_LACOSTE_20012024_SF4502,Sức khỏe - Làm đẹp,12.0,0.5
MA_LACOSTE_20012024_SF4502,Thời trang và Phong cách sống,12.0,0.5
MA_LADOMAX_29122023_SF4382,Nhà cửa - Đời sống,64.0,17.0
MA_LEMONDESTEAK_02012024_SF4428,Ẩm thực,1618.0,71.0
MA_LIFETRONS_18102023_SF4197,Sức khỏe - Làm đẹp,1.0,0.0
MA_LOCATVN_05122023_SF4276,Nhà cửa - Đời sống,274.0,51.0
MA_MAC_20012024_SF4510,Sức khỏe - Làm đẹp,37.0,4.5
MA_MAC_20012024_SF4510,Thời trang và Phong cách sống,37.0,4.5
MA_MAYBELLINE_21122023_SF4359,Sức khỏe - Làm đẹp,49.0,6.0
MA_MERRIMAN_28092023_SF3886,Sức khỏe - Làm đẹp,158.0,134.0
MA_MISHIO_05012024_SF4431,Khác,24.0,5.5
MA_MISHIO_05012024_SF4431,Nhà cửa - Đời sống,24.0,5.5
MA_MISHIO_05012024_SF4432,Khác,23.0,5.5
MA_MISHIO_05012024_SF4432,Nhà cửa - Đời sống,23.0,5.5
MA_MISHIO_05012024_SF4433,Khác,47.0,4.0
MA_MISHIO_05012024_SF4433,Nhà cửa - Đời sống,47.0,4.0
MA_MISHIO_08122023_SF4269,Khác,202.5,69.5
MA_MISHIO_08122023_SF4269,Nhà cửa - Đời sống,202.5,69.5
MA_MLB_20012024_SF4503,Sức khỏe - Làm đẹp,112.5,10.5
MA_MLB_20012024_SF4503,Thời trang và Phong cách sống,112.5,10.5
MA_MYKINGDOM_05022024_SF4614,Mẹ & bé,71.0,7.0
MA_May10_22012024_SF4603,Thời trang và Phong cách sống,259.0,14.0
MA_NHAKHOAVIETDUC_20012024_SF4499,Sức khỏe - Làm đẹp,40.0,0.0
MA_NIKE_20012024_SF4505,Sức khỏe - Làm đẹp,189.0,17.5
MA_NIKE_20012024_SF4505,Thời trang và Phong cách sống,189.0,17.5
MA_NINESHIELD_28122023_SF4379,Nhà cửa - Đời sống,101.0,24.0
MA_NUXE_21122023_SF4339,Sức khỏe - Làm đẹp,14.0,1.0
MA_Nagakawa_25122023_SF4397,Nhà cửa - Đời sống,2.0,0.0
MA_OBAGI_21122023_SF4358,Sức khỏe - Làm đẹp,392.0,43.0
MA_PNJSILVER_12012024_SF4478,Thời trang và Phong cách sống,2000.0,1440.0
MA_PNJ_12012024_SF4479,Thời trang và Phong cách sống,6459.0,4361.0
MA_PNJ_12012024_SF4480,Thời trang và Phong cách sống,6262.0,5092.0
MA_POTICO_15122023_SF4362,Nhà cửa - Đời sống,193.0,16.0
MA_QUANNHAUTUDO_20012024_SF4516,Ẩm thực,676.0,18.0
MA_RAUMAMIX_01122023_SF4265,Ẩm thực,667.0,77.0
MA_SALADIN_28122023_SF4378,Dịch vụ tài chính,16.0,1.0
MA_SHANGCHI_02012024_SF4430,Ẩm thực,952.0,112.0
MA_SHISEIDO_05112023_SF4140,Sức khỏe - Làm đẹp,831.0,257.0
MA_SPA100THAOMOC_26122023_SF4350,Sức khỏe - Làm đẹp,103.0,0.0
MA_SPA100THAOMOC_26122023_SF4419,Sức khỏe - Làm đẹp,18.0,0.0
MA_STYLEBYPNJ_12012024_SF4476,Thời trang và Phong cách sống,579.0,113.0
MA_STYLEBYPNJ_12012024_SF4477,Thời trang và Phong cách sống,1140.0,455.0
MA_SWAROVSKI_20012024_SF4509,Sức khỏe - Làm đẹp,33.0,2.0
MA_SWAROVSKI_20012024_SF4509,Thời trang và Phong cách sống,33.0,2.0
MA_SWENSENSCAKE_04012024_SF4482,Ẩm thực,23.0,2.0
MA_SWENSENS_01102023_SF3872,Ẩm thực,634.0,90.0
MA_SWENSENS_04012024_SF4481,Ẩm thực,466.0,64.0
MA_TEFAL_22122023_SF4352,Nhà cửa - Đời sống,32.0,3.0
MA_TEKY_16112023_SF4252,Giáo dục,422.0,54.0
MA_TMVNGOCDUNG_12102023_SF3958,Sức khỏe - Làm đẹp,3.0,1.0
MA_TMVNGOCDUNG_25012024_SF4523,Sức khỏe - Làm đẹp,239.0,41.0
MA_VERSACE_20012024_SF4513,Sức khỏe - Làm đẹp,18.5,3.0
MA_VERSACE_20012024_SF4513,Thời trang và Phong cách sống,18.5,3.0
MA_WINSMILE_12092023_SF3867,Sức khỏe - Làm đẹp,174.0,27.0
MA_WINSMILE_12092023_SF3868,Sức khỏe - Làm đẹp,43.0,0.0
MA_WINSMILE_12102023_SF3970,Sức khỏe - Làm đẹp,41.0,1.0
MA_WINSMILE_12102023_SF3971,Sức khỏe - Làm đẹp,36.0,2.0
MA_YAKIMONO_02012024_SF4429,Ẩm thực,1699.0,177.0
MA_YSL_20012024_SF4508,Sức khỏe - Làm đẹp,11.0,0.5
MA_YSL_20012024_SF4508,Thời trang và Phong cách sống,11.0,0.5
MA_YUHUA_15112023_SF4253,Ẩm thực,556.0,16.0
MA_iBasic_10122023_SF4278,Thời trang và Phong cách sống,782.0,129.0
MA_iBasic_10122023_SF4367,Thời trang và Phong cách sống,116.0,30.0
MICHAELKORS_20012024_SF4472,Sức khỏe - Làm đẹp,20.5,1.0
MICHAELKORS_20012024_SF4472,Thời trang và Phong cách sống,20.5,1.0
OMC_Viettel50_active,Tiện ích - Nhà mạng,3.0,3.0
SAPPACADEMY_30122023_SF4412,Giáo dục,149.0,18.0
THEORDINARY_17032023_SF3032,Sức khỏe - Làm đẹp,25.0,20.0
VIETNAMAIRLINES_30122020_1,Vận tải - Giao vận,166.0,166.0
VIETNAMAIRLINES_30122020_2,Vận tải - Giao vận,86.0,86.0
VIETNAMAIRLINES_30122020_3,Vận tải - Giao vận,80.0,80.0
xXC10173,Bán lẻ FMCG,0.0,0.625
xXC10173,Mẹ & bé,0.0,0.625
xXC10173,Sức khỏe - Làm đẹp,0.0,0.625
xXC10173,Thương mại điện tử,0.0,0.625
xXC10173,Thời trang và Phong cách sống,0.0,0.625
xXC10173,Tiện ích - Nhà mạng,0.0,0.625
xXC10173,Vận tải - Giao vận,0.0,0.625
xXC10173,Ẩm thực,0.0,0.625
xXC10766,Bán lẻ FMCG,0.0,6.5
xXC10766,Mẹ & bé,0.0,6.5
xXC10766,Sức khỏe - Làm đẹp,0.0,6.5
xXC10766,Thương mại điện tử,0.0,6.5
xXC10766,Thời trang và Phong cách sống,0.0,6.5
xXC10766,Tiện ích - Nhà mạng,0.0,6.5
xXC10766,Vận tải - Giao vận,0.0,6.5
xXC10766,Ẩm thực,0.0,6.5
xXC11198,Bán lẻ FMCG,0.0,0.625
xXC11198,Mẹ & bé,0.0,0.625
xXC11198,Sức khỏe - Làm đẹp,0.0,0.625
xXC11198,Thương mại điện tử,0.0,0.625
xXC11198,Thời trang và Phong cách sống,0.0,0.625
xXC11198,Tiện ích - Nhà mạng,0.0,0.625
xXC11198,Vận tải - Giao vận,0.0,0.625
xXC11198,Ẩm thực,0.0,0.625
xXC11629,Bán lẻ FMCG,0.0,1.75
xXC11629,Mẹ & bé,0.0,1.75
xXC11629,Sức khỏe - Làm đẹp,0.0,1.75
xXC11629,Thương mại điện tử,0.0,1.75
xXC11629,Thời trang và Phong cách sống,0.0,1.75
xXC11629,Tiện ích - Nhà mạng,0.0,1.75
xXC11629,Vận tải - Giao vận,0.0,1.75
xXC11629,Ẩm thực,0.0,1.75
xXC12543,Bán lẻ FMCG,16.5,4.25
xXC12543,Mẹ & bé,16.5,4.25
xXC12543,Sức khỏe - Làm đẹp,16.5,4.25
xXC12543,Thương mại điện tử,16.5,4.25
xXC12543,Thời trang và Phong cách sống,16.5,4.25
xXC12543,Tiện ích - Nhà mạng,16.5,4.25
xXC12543,Vận tải - Giao vận,16.5,4.25
xXC12543,Ẩm thực,16.5,4.25
xXC12555,Bán lẻ FMCG,87.5,57.375
xXC12555,Mẹ & bé,87.5,57.375
xXC12555,Sức khỏe - Làm đẹp,87.5,57.375
xXC12555,Thương mại điện tử,87.5,57.375
xXC12555,Thời trang và Phong cách sống,87.5,57.375
xXC12555,Tiện ích - Nhà mạng,87.5,57.375
xXC12555,Vận tải - Giao vận,87.5,57.375
xXC12555,Ẩm thực,87.5,57.375
xXC12557,Bán lẻ FMCG,0.0,10.75
xXC12557,Mẹ & bé,0.0,10.75
xXC12557,Sức khỏe - Làm đẹp,0.0,10.75
xXC12557,Thương mại điện tử,0.0,10.75
xXC12557,Thời trang và Phong cách sống,0.0,10.75
xXC12557,Tiện ích - Nhà mạng,0.0,10.75
xXC12557,Vận tải - Giao vận,0.0,10.75
xXC12557,Ẩm thực,0.0,10.75
xXC12558,Bán lẻ FMCG,0.0,0.375
xXC12558,Mẹ & bé,0.0,0.375
xXC12558,Sức khỏe - Làm đẹp,0.0,0.375
xXC12558,Thương mại điện tử,0.0,0.375
xXC12558,Thời trang và Phong cách sống,0.0,0.375
xXC12558,Tiện ích - Nhà mạng,0.0,0.375
xXC12558,Vận tải - Giao vận,0.0,0.375
xXC12558,Ẩm thực,0.0,0.375
xXC2417,Bán lẻ FMCG,0.0,0.625
xXC2417,Mẹ & bé,0.0,0.625
xXC2417,Sức khỏe - Làm đẹp,0.0,0.625
xXC2417,Thương mại điện tử,0.0,0.625
xXC2417,Thời trang và Phong cách sống,0.0,0.625
xXC2417,Tiện ích - Nhà mạng,0.0,0.625
xXC2417,Vận tải - Giao vận,0.0,0.625
xXC2417,Ẩm thực,0.0,0.625
xXC2654,Bán lẻ FMCG,87.5,71.875
xXC2654,Mẹ & bé,87.5,71.875
xXC2654,Sức khỏe - Làm đẹp,87.5,71.875
xXC2654,Thương mại điện tử,87.5,71.875
xXC2654,Thời trang và Phong cách sống,87.5,71.875
xXC2654,Tiện ích - Nhà mạng,87.5,71.875
xXC2654,Vận tải - Giao vận,87.5,71.875
xXC2654,Ẩm thực,87.5,71.875
xXC3467,Bán lẻ FMCG,25.0,18.375
xXC3467,Mẹ & bé,25.0,18.375
xXC3467,Sức khỏe - Làm đẹp,25.0,18.375
xXC3467,Thương mại điện tử,25.0,18.375
xXC3467,Thời trang và Phong cách sống,25.0,18.375
xXC3467,Tiện ích - Nhà mạng,25.0,18.375
xXC3467,Vận tải - Giao vận,25.0,18.375
xXC3467,Ẩm thực,25.0,18.375
xXC3704,Bán lẻ FMCG,225.0,224.5
xXC3704,Mẹ & bé,225.0,224.5
xXC3704,Sức khỏe - Làm đẹp,225.0,224.5
xXC3704,Thương mại điện tử,225.0,224.5
xXC3704,Thời trang và Phong cách sống,225.0,224.5
xXC3704,Tiện ích - Nhà mạng,225.0,224.5
xXC3704,Vận tải - Giao vận,225.0,224.5
xXC3704,Ẩm thực,225.0,224.5
xXC3705,Bán lẻ FMCG,229.375,233.75
xXC3705,Mẹ & bé,229.375,233.75
xXC3705,Sức khỏe - Làm đẹp,229.375,233.75
xXC3705,Thương mại điện tử,229.375,233.75
xXC3705,Thời trang và Phong cách sống,229.375,233.75
xXC3705,Tiện ích - Nhà mạng,229.375,233.75
xXC3705,Vận tải - Giao vận,229.375,233.75
xXC3705,Ẩm thực,229.375,233.75
xXC3706,Bán lẻ FMCG,294.625,296.75
xXC3706,Mẹ & bé,294.625,296.75
xXC3706,Sức khỏe - Làm đẹp,294.625,296.75
xXC3706,Thương mại điện tử,294.625,296.75
xXC3706,Thời trang và Phong cách sống,294.625,296.75
xXC3706,Tiện ích - Nhà mạng,294.625,296.75
xXC3706,Vận tải - Giao vận,294.625,296.75
xXC3706,Ẩm thực,294.625,296.75
xXC3706_Clone,Bán lẻ FMCG,0.0,0.125
xXC3706_Clone,Mẹ & bé,0.0,0.125
xXC3706_Clone,Sức khỏe - Làm đẹp,0.0,0.125
xXC3706_Clone,Thương mại điện tử,0.0,0.125
xXC3706_Clone,Thời trang và Phong cách sống,0.0,0.125
xXC3706_Clone,Tiện ích - Nhà mạng,0.0,0.125
xXC3706_Clone,Vận tải - Giao vận,0.0,0.125
xXC3706_Clone,Ẩm thực,0.0,0.125
xXC3707,Bán lẻ FMCG,1474.75,1462.75
xXC3707,Mẹ & bé,1474.75,1462.75
xXC3707,Sức khỏe - Làm đẹp,1474.75,1462.75
xXC3707,Thương mại điện tử,1474.75,1462.75
xXC3707,Thời trang và Phong cách sống,1474.75,1462.75
xXC3707,Tiện ích - Nhà mạng,1474.75,1462.75
xXC3707,Vận tải - Giao vận,1474.75,1462.75
xXC3707,Ẩm thực,1474.75,1462.75
xXC3713,Bán lẻ FMCG,48.25,50.0
xXC3713,Mẹ & bé,48.25,50.0
xXC3713,Sức khỏe - Làm đẹp,48.25,50.0
xXC3713,Thương mại điện tử,48.25,50.0
xXC3713,Thời trang và Phong cách sống,48.25,50.0
xXC3713,Tiện ích - Nhà mạng,48.25,50.0
xXC3713,Vận tải - Giao vận,48.25,50.0
xXC3713,Ẩm thực,48.25,50.0
xXC3714,Bán lẻ FMCG,160.875,160.375
xXC3714,Mẹ & bé,160.875,160.375
xXC3714,Sức khỏe - Làm đẹp,160.875,160.375
xXC3714,Thương mại điện tử,160.875,160.375
xXC3714,Thời trang và Phong cách sống,160.875,160.375
xXC3714,Tiện ích - Nhà mạng,160.875,160.375
xXC3714,Vận tải - Giao vận,160.875,160.375
xXC3714,Ẩm thực,160.875,160.375
xXC3715,Bán lẻ FMCG,555.375,543.625
xXC3715,Mẹ & bé,555.375,543.625
xXC3715,Sức khỏe - Làm đẹp,555.375,543.625
xXC3715,Thương mại điện tử,555.375,543.625
xXC3715,Thời trang và Phong cách sống,555.375,543.625
xXC3715,Tiện ích - Nhà mạng,555.375,543.625
xXC3715,Vận tải - Giao vận,555.375,543.625
xXC3715,Ẩm thực,555.375,543.625
